company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Toyota,Corolla Altis 1.8 G,1390000.0,54000,Petrol,Manual,1st Owner,2019-05-12,1798,5
Hyundai,Verna VTVT 1.6 SX,890000.0,19600,Petrol,Manual,1st Owner,2019-01-04,1591,5
Audi,A4 2.0 TDI Technology Edition,1689999.9999999998,48000,Diesel,Automatic,1st Owner,2015-03-14,1968,5
Audi,Q3 2.0 TDI,1390000.0,69500,Diesel,Automatic,1st Owner,2012-11-18,1968,5
BMW,5 Series 530d,1500000.0,71000,Diesel,Automatic,2nd Owner,2012-02-08,2993,5
Porsche,Cayenne S Diesel,4500000.0,48894,Diesel,Automatic,1st Owner,2014-09-22,4134,5
Maruti,A-Star Zxi,153000.0,46257,Petrol,Manual,3rd Owner,2008-04-18,998,5
Ford,Ecosport 1.5 DV5 MT Titanium,509000.0,78264,Diesel,Manual,2nd Owner,2015-11-23,1498,5
Honda,Jazz 1.2 S AT i VTEC,546000.0,42451,Petrol,Automatic,1st Owner,2016-09-14,1199,5
Volkswagen,Vento Diesel Highline,273000.0,131861,Diesel,Manual,2nd Owner,2012-09-14,1598,5
Chevrolet,Beat Diesel PS,110000.00000000001,150349,Diesel,Manual,1st Owner,2012-01-19,936,5
Maruti,Wagon R VXI BS IV,369000.0,29033,Petrol,Manual,1st Owner,2017-11-10,998,5
BMW,3 Series 320d Luxury Line,1350000.0,99000,Diesel,Automatic,1st Owner,2015-10-05,1995,5
Renault,KWID RXL,275000.0,47000,Petrol,Manual,1st Owner,2018-08-19,799,5
Maruti,Baleno 1.3 Sigma,550000.0,35000,Diesel,Manual,1st Owner,2018-03-05,1248,5
Mercedes-Benz,C-Class C 220 CDI BE COR,975000.0,58000,Diesel,Automatic,1st Owner,2013-05-31,2143,5
Honda,City S,400000.0,48000,Petrol,Manual,1st Owner,2012-08-27,1497,5
Honda,Amaze VX AT i-Vtech,475000.0,45000,Petrol,Automatic,1st Owner,2014-08-21,1198,5
Hyundai,EON D Lite,190000.0,60000,Petrol,Manual,2nd Owner,2012-02-22,814,5
Hyundai,i20 Magna Optional 1.2,465000.00000000006,23000,Petrol,Manual,1st Owner,2014-11-07,1197,5
Hyundai,Grand i10 1.2 Kappa Era,459999.99999999994,45000,Petrol,Manual,1st Owner,2019-03-03,1197,5
Hyundai,i10 Magna 1.1L,325000.0,45000,Petrol,Manual,1st Owner,2014-12-03,1086,5
Maruti,Ertiga VDI,525000.0,58000,Diesel,Manual,1st Owner,2013-01-10,1248,7
Hyundai,i20 1.2 Spotz,625000.0,48000,Petrol,Manual,1st Owner,2018-10-06,1197,5
BMW,2 Series 220i M Sport,4000000.0,18000,Petrol,Automatic,1st Owner,2021-05-20,1998,5
Skoda,Kushaq 1.0 TSI Style 6 Airbags AT,1675000.0,16000,Petrol,Automatic,1st Owner,2022-04-13,999,5
Honda,City i-VTEC VX,1000000.0,24000,Petrol,Manual,1st Owner,2019-07-14,1497,5
MG,Hector Plus Select Diesel MT 7 STR,1789999.9999999998,36000,Diesel,Manual,1st Owner,2021-07-06,1956,7
Jeep,Compass 1.4 Limited Plus,1390000.0,35000,Petrol,Automatic,2nd Owner,2019-11-18,1368,5
Honda,Amaze E Petrol BSIV,610000.0,64000,Petrol,Manual,1st Owner,2019-06-02,1199,5
Maruti,Vitara Brezza VDi,775000.0,72000,Diesel,Manual,1st Owner,2017-02-19,1248,5
Hyundai,Grand i10 Magna,459999.99999999994,29900,Petrol,Manual,1st Owner,2015-04-26,1197,5
Tata,Indigo VX BSIV,310000.0,160000,Diesel,Manual,1st Owner,2013-12-14,1396,5
Tata,Tiago XZ Plus,565000.0,16000,Petrol,Manual,1st Owner,2020-08-15,1199,5
Honda,WR-V i-VTEC VX,900000.0,17000,Petrol,Manual,1st Owner,2019-03-21,1199,5
Lexus,NX 300h,4200000.0,111000,Petrol,Automatic,1st Owner,2018-12-15,2499,5
Mercedes-Benz,M-Class ML 250 CDI,2850000.0,38000,Diesel,Automatic,2nd Owner,2015-01-28,2143,5
Honda,Jazz 1.5 SV i DTEC,550000.0,32000,Diesel,Manual,1st Owner,2015-11-25,1498,5
Volkswagen,Polo 1.2 MPI Comfortline,450000.0,67000,Petrol,Manual,1st Owner,2015-01-03,1198,5
Ford,Ecosport 1.5 Petrol Titanium AT,675000.0,50000,Petrol,Automatic,1st Owner,2016-05-13,1496,5
Maruti,Swift VDI BSIV,180000.0,110000,Diesel,Manual,2nd Owner,2010-08-26,1248,5
