company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
Chevrolet,Spark 1.0 E,105000.0,81000,Petrol,Manual,1st Owner,2009-11-29,1248,5
Chevrolet,Sail Hatchback 1.2 LS,365000.0,30000,Petrol,Manual,1st Owner,2017-10-26,1998,5
Maruti,Vitara Brezza ZDi Plus,800000.0,100000,Diesel,Manual,2nd Owner,2019-02-15,1950,5
Volvo,XC60 B5 Inscripition,6850000.0,7000,Petrol,Automatic,1st Owner,2022-01-10,1582,5
Mercedes-Benz,E-Class Exclusive E 220d,5600000.0,18770,Diesel,Automatic,1st Owner,2018-09-20,1497,5
Hyundai,Verna 1.6 CRDI SX Option,925000.0,85680,Diesel,Manual,1st Owner,2017-04-11,1995,5
Honda,City i VTEC V,725000.0,61548,Petrol,Manual,1st Owner,2016-09-03,998,5
BMW,X1 sDrive 20d xLine,3000000.0,25000,Diesel,Automatic,1st Owner,2019-12-04,1248,5
Maruti,A-Star Vxi,140000.0,100000,Petrol,Manual,4th Owner,2009-08-13,1197,5
Maruti,Swift LDI BSIV,425000.0,80000,Diesel,Manual,1st Owner,2016-06-03,2987,5
Hyundai,i20 Magna,700000.0,5000,Petrol,Manual,1st Owner,2021-12-30,1396,5
Maserati,Ghibli Diesel BSIV,6600000.0,12000,Diesel,Automatic,1st Owner,2016-12-24,2179,5
Hyundai,i20 1.4 Asta,690000.0,84250,Diesel,Manual,2nd Owner,2017-07-11,1197,8
Mahindra,Scorpio 2.6 SLX CRDe,180000.0,120000,Diesel,Manual,3rd Owner,2002-03-14,2143,5
Hyundai,Venue S,800000.0,35000,Petrol,Manual,1st Owner,2020-10-18,1197,5
Mercedes-Benz,C-Class C 220 CDI Avantgarde,2150000.0,37000,Diesel,Automatic,2nd Owner,2015-09-21,1248,5
Hyundai,i20 Sportz Option 1.2,565000.0,72000,Petrol,Manual,1st Owner,2016-02-25,1498,5
Maruti,SX4 S Cross Zeta DDiS 200 SH,844999.9999999999,72000,Diesel,Manual,1st Owner,2019-08-30,2967,5
Skoda,Rapid 1.5 TDI Ambition,450000.0,80250,Diesel,Manual,2nd Owner,2014-01-30,1396,5
Porsche,Cayenne Diesel Platinum Edition,5800000.0,50000,Diesel,Automatic,1st Owner,2016-12-23,1197,5
Hyundai,i20 Asta 1.4 CRDi,520000.0,75000,Diesel,Manual,1st Owner,2016-03-27,1498,5
Maruti,Baleno Alpha CVT,700000.0,48763,Petrol,Automatic,1st Owner,2018-08-06,1991,5
Honda,City i DTec S,725000.0,34142,Diesel,Manual,1st Owner,2016-03-05,1199,5
Mercedes-Benz,E-Class Exclusive E 200,6700000.0,8900,Petrol,Automatic,1st Owner,2021-07-29,999,5
Honda,WR-V i-VTEC S,675000.0,25000,Petrol,Manual,1st Owner,2019-08-19,1462,7
Renault,Triber RXZ,700000.0,25000,Petrol,Manual,1st Owner,2021-09-13,1950,7
Maruti,Ertiga VXI,770000.0,70000,Petrol,Manual,2nd Owner,2019-12-15,1199,5
Mercedes-Benz,C-Class Progressive C 200,4250000.0,28000,Petrol,Automatic,1st Owner,2019-07-01,1197,5
Tata,Altroz XT,650000.0,21000,Petrol,Manual,1st Owner,2020-04-12,998,5
Hyundai,i20 Magna,570000.0,40000,Petrol,Manual,1st Owner,2020-08-22,1995,5
Maruti,Wagon R LXI BS IV,315000.0,40000,Petrol,Manual,1st Owner,2014-04-20,2179,5
BMW,5 Series 525d Luxury Line,2575000.0,65500,Diesel,Automatic,1st Owner,2015-12-20,1388,7
Tata,Safari Storme EX,580000.0,90000,Diesel,Manual,1st Owner,2014-06-13,2523,5
Ford,Fiesta 1.4 ZXi Duratec,150000.0,179000,Petrol,Manual,2nd Owner,2009-11-06,4461,7
Mahindra,Bolero EX NON AC,509999.99999999994,40000,Diesel,Manual,1st Owner,2016-08-22,1197,7
Toyota,Land Cruiser VX,16900000.0,27000,Diesel,Automatic,1st Owner,2019-02-08,796,5
Hyundai,i20 Sportz 1.2,525000.0,70000,Petrol,Manual,3rd Owner,2016-12-22,1598,5
Maruti,Alto LX,65000.0,60000,Petrol,Manual,2nd Owner,2005-07-07,1998,5
Volkswagen,Vento Magnific 1.6 Highline,499000.0,40000,Petrol,Manual,1st Owner,2015-02-12,1373,5
BMW,X1 sDrive20i xLine,4000000.0,10000,Petrol,Automatic,1st Owner,2021-12-02,1061,7
Maruti,Ertiga VXI,595000.0,40000,Petrol,Manual,2nd Owner,2015-08-28,1197,5
Maruti,Zen Estilo 1.1 LX BSIII,89000.0,29081,Petrol,Manual,3rd Owner,2006-04-11,2179,5
Hyundai,Xcent 1.2 VTVT S,536000.0,30000,Petrol,Manual,1st Owner,2018-11-05,1984,7
Tata,Hexa XT,1095000.0,66000,Diesel,Manual,1st Owner,2017-06-23,1197,5
Audi,Q5 2.0 TFSI Quattro,1200000.0,80000,Petrol,Automatic,2nd Owner,2012-04-04,1198,5
Maruti,Swift Dzire VXI,720000.0,6200,Petrol,Manual,1st Owner,2022-08-24,1998,2
Maruti,Super Carry STD,470000.0,20000,Petrol,Manual,2nd Owner,2021-07-17,796,4
Mini,3 DOOR John Cooper Works 2019-2020,3450000.0,40000,Petrol,Automatic,2nd Owner,2017-07-28,1197,4
Maruti,800 Std MPFi,65000.0,80000,Petrol,Manual,2nd Owner,2003-12-25,1599,5
Maruti,Baleno Delta,650000.0,20000,Petrol,Manual,1st Owner,2020-03-30,2400,5
Chevrolet,Optra 1.6,150000.0,60000,Petrol,Manual,3rd Owner,2006-12-23,796,5
Volvo,XC60 D5 Inscription,5450000.0,34000,Diesel,Automatic,1st Owner,2019-06-06,2179,4
Maruti,800 DX 5 Speed,55000.0,30000,Petrol,Manual,1st Owner,2002-06-02,796,7
Mahindra,Scorpio S5 BSIV,1150000.0,120000,Diesel,Manual,1st Owner,2019-10-19,1999,4
Maruti,800 Std,45000.0,50000,Petrol,Manual,4th Owner,2000-03-02,1197,7
Land,Rover Discovery Sport TD4 HSE 7S,4875000.0,38000,Diesel,Automatic,1st Owner,2020-05-13,1799,5
Maruti,Swift VXI with ABS,125000.0,85000,Petrol,Manual,2nd Owner,2006-03-25,998,5
Honda,Civic ZX,1700000.0,25000,Petrol,Automatic,1st Owner,2019-07-22,2925,5
Maruti,Zen Estilo VXI BSIII,95000.0,120000,Petrol,Manual,2nd Owner,2007-11-13,1498,5
Mercedes-Benz,S-Class S 350d,17700000.0,1400,Diesel,Automatic,1st Owner,2022-12-05,2499,7
Honda,BR-V i-DTEC E MT,650000.0,65500,Diesel,Manual,1st Owner,2017-08-26,1461,7
Chevrolet,Tavera B2 8 Seats BSIII,170000.0,380000,Diesel,Manual,4th Owner,2008-08-23,998,8
Renault,Lodgy Stepway Edition 8 Seater,700000.0,50000,Diesel,Manual,2nd Owner,2016-12-01,993,5
Maruti,S-Presso VXI Plus 2019-2022,390000.0,40000,Petrol,Manual,1st Owner,2019-06-03,796,5
Maruti,Zen LXI,39000.0,100000,Petrol,Manual,2nd Owner,2000-11-18,1396,5
Maruti,Alto 800 tour H1 (O),378000.0,5000,Petrol,Manual,1st Owner,2021-11-06,2523,5
Hyundai,i20 Sportz 1.4 CRDi,550000.0,90000,Diesel,Manual,1st Owner,2016-06-13,998,5
Mahindra,Marshal DI,490000.00000000006,100000,Diesel,Manual,1st Owner,2004-01-07,2179,8
Maruti,Alto K10 VXI,290000.0,50000,Petrol,Manual,3rd Owner,2018-01-16,2179,8
Mahindra,Scorpio Sle,350000.0,110000,Diesel,Manual,4th Owner,2010-07-22,1461,5
Mahindra,Scorpio VLS AT 2.2 mHAWK,480000.0,120000,Diesel,Automatic,2nd Owner,2012-01-18,998,5
Renault,Duster 85PS Diesel RxL,475000.0,116000,Diesel,Manual,1st Owner,2015-04-13,1968,5
Maruti,Wagon R AMT VXI,426000.0,25000,Petrol,Automatic,1st Owner,2017-03-10,2523,7
Skoda,Octavia 2.0 TDI AT Style Plus,1400000.0,75000,Diesel,Automatic,2nd Owner,2017-01-30,1299,5
Mahindra,Bolero SLX 2WD BSIII,400000.0,120000,Diesel,Manual,4th Owner,2013-06-22,1061,5
Ford,Ikon 1.3 CLXi,120000.0,70000,Petrol,Manual,2nd Owner,2004-01-26,796,5
Maruti,Wagon R LXI Minor,160000.0,90000,Petrol,Manual,1st Owner,2009-03-14,799,5
Maruti,Alto LX BSIII,100000.0,120000,Petrol,Manual,4th Owner,2010-09-13,1493,5
Renault,KWID RXT,430000.0,25000,Petrol,Manual,1st Owner,2020-11-05,1196,7
Honda,City 1.5 EXI,175000.0,263000,Petrol,Manual,1st Owner,2004-05-17,998,5
Maruti,Eeco 7 Seater Standard BSIV,270000.0,110000,Petrol,Manual,1st Owner,2017-09-09,1061,5
Maruti,Wagon R VXI Optional,400000.0,10000,Petrol,Manual,3rd Owner,2018-05-24,1248,5
Maruti,Wagon R LX Minor Duo LPG,100000.0,137535,Lpg,Manual,1st Owner,2007-06-12,1196,5
Maruti,Swift VDI Optional,370000.0,90000,Diesel,Manual,2nd Owner,2015-11-01,1956,5
Maruti,Eeco CNG 5 Seater AC,403000.0,35000,Cng,Manual,1st Owner,2021-10-26,1196,5
Jeep,Compass 2.0 Limited,1600000.0,40000,Diesel,Manual,1st Owner,2019-04-22,1582,5
Maruti,Eeco 5 Seater STD 2020-2022,520000.0,39000,Petrol,Manual,1st Owner,2020-10-20,1582,5
Hyundai,Creta 1.6 SX Automatic Diesel,1590000.0,73200,Diesel,Automatic,1st Owner,2018-10-17,998,5
Hyundai,Verna 1.6 CRDi SX,990000.0,88500,Diesel,Manual,1st Owner,2017-08-22,1197,5
Maruti,Alto K10 VXI,360000.0,49000,Petrol,Manual,1st Owner,2018-02-01,1497,5
Hyundai,i20 Asta Option,740000.0,45000,Petrol,Manual,1st Owner,2018-05-18,1498,5
Honda,City GXi,181000.0,114862,Petrol,Manual,1st Owner,2008-06-06,1199,5
Honda,City i DTEC V,950000.0,147947,Diesel,Manual,1st Owner,2015-03-18,1061,5
Honda,Amaze VX CVT,947000.0000000001,4391,Petrol,Automatic,1st Owner,2022-10-20,1198,5
Maruti,Wagon R LXI Minor Duo LPG,63803.0,115549,Lpg,Manual,1st Owner,2007-12-23,1598,5
Honda,Amaze SX i-VTEC,445000.0,38738,Petrol,Manual,1st Owner,2016-05-29,1462,5
Maruti,SX4 S Cross DDiS 320 Delta,635000.0,85762,Diesel,Manual,1st Owner,2015-08-18,1497,5
Toyota,Urban cruiser Mid,782000.0,27987,Petrol,Manual,1st Owner,2022-10-07,1197,5
Honda,City 1.5 V MT,302000.0,141918,Petrol,Manual,1st Owner,2010-04-11,1120,5
Maruti,Baleno Zeta,723000.0,39558,Petrol,Manual,1st Owner,2021-12-05,1248,5
Hyundai,Grand i10 CRDi Asta Option,344000.0,68456,Diesel,Manual,2nd Owner,2013-10-18,998,5
Maruti,Swift VDI,340000.0,86000,Diesel,Manual,1st Owner,2011-03-19,796,5
Maruti,S-Presso VXI Plus 2019-2022,440000.00000000006,29782,Petrol,Manual,1st Owner,2021-01-06,1248,5
Maruti,Alto LX,114999.99999999999,95046,Petrol,Manual,2nd Owner,2011-04-17,2179,8
Maruti,Ciaz ZDi Plus SHVS,496000.0,133053,Diesel,Manual,1st Owner,2016-11-23,1198,5
Mahindra,Scorpio VLX 2WD AT BSIV,462000.0,151537,Diesel,Automatic,2nd Owner,2013-05-06,796,8
Honda,Amaze S i-VTEC,440000.00000000006,91437,Petrol,Manual,1st Owner,2017-09-21,2143,5
Maruti,Omni E MPI STD BSIV,178000.0,11615,Petrol,Manual,1st Owner,2015-06-27,1197,5
Mercedes-Benz,E-Class E250 CDI Avantgarde,1121000.0,85471,Diesel,Automatic,2nd Owner,2012-09-01,1396,5
Hyundai,i20 Sportz 1.2,340000.0,82591,Petrol,Manual,1st Owner,2013-07-25,1461,5
Hyundai,i20 1.4 Asta Option,725000.0,73000,Diesel,Manual,1st Owner,2017-08-07,1495,5
Renault,Duster 110PS Diesel RxZ Plus,421000.0,68000,Diesel,Manual,1st Owner,2012-09-29,1497,5
Hyundai,Accent Executive LPG,128000.0,73592,Lpg,Manual,2nd Owner,2010-07-05,1248,5
Honda,City 1.5 S MT,248000.0,114361,Petrol,Manual,5th Owner,2009-06-24,1198,5
Maruti,Ciaz ZDi,516000.0,84193,Diesel,Manual,2nd Owner,2014-10-27,1497,5
Volkswagen,Ameo 1.2 MPI Highline Plus,525000.0,57000,Petrol,Manual,2nd Owner,2017-04-11,1462,5
Honda,City i VTEC VX,593000.0,48727,Petrol,Manual,1st Owner,2014-09-01,1199,5
Maruti,Brezza Zxi,1043000.0,6510,Petrol,Manual,1st Owner,2022-10-15,1598,5
Honda,Amaze S Petrol,665000.0,33088,Petrol,Manual,1st Owner,2021-06-23,1197,5
Skoda,Rapid 1.6 TDI Elegance,245000.00000000003,151434,Diesel,Manual,3rd Owner,2011-07-30,1598,5
Maruti,Swift Dzire VXI 1.2,547000.0,21166,Petrol,Manual,1st Owner,2017-06-04,1086,5
Volkswagen,Vento Diesel Trendline,250999.99999999997,106647,Diesel,Manual,2nd Owner,2012-06-15,1197,5
Hyundai,i10 Sportz 1.1L,276000.0,37930,Petrol,Manual,4th Owner,2014-08-22,2494,8
Hyundai,Grand i10 Magna,301000.0,128281,Petrol,Manual,1st Owner,2014-08-02,1198,5
Toyota,Innova 2.5 VX (Diesel) 8 Seater BS IV,469000.00000000006,168062,Diesel,Manual,3rd Owner,2010-02-07,2489,7
Nissan,Micra XL Option CVT,493000.0,13333,Petrol,Automatic,1st Owner,2019-01-07,1968,5
Mahindra,Xylo D4,259000.0,151026,Diesel,Manual,2nd Owner,2014-04-12,1598,5
Skoda,Superb Elegance 2.0 TDI CR AT,393000.0,134521,Diesel,Automatic,2nd Owner,2011-05-17,1995,5
Skoda,Rapid 1.6 TDI Elegance,290000.0,132996,Diesel,Manual,2nd Owner,2012-10-05,1498,5
BMW,X4 M Sport X xDrive20d,5650000.0,29000,Diesel,Automatic,1st Owner,2019-02-25,1598,5
Honda,City ZX MT,1292000.0,19534,Petrol,Manual,1st Owner,2020-11-29,998,5
Skoda,Rapid 1.6 MPI Ambition BSIV,644000.0,88673,Petrol,Manual,1st Owner,2019-03-19,1198,5
Hyundai,i20 Asta Opt Turbo DCT,1093000.0,32272,Petrol,Automatic,1st Owner,2020-01-12,1086,5
Volkswagen,Polo 1.2 MPI Trendline,433000.0,26850,Petrol,Manual,2nd Owner,2017-02-13,814,5
Hyundai,i10 Era 1.1,98497.0,120426,Petrol,Manual,4th Owner,2009-10-21,1598,5
Hyundai,EON Era Plus,246000.0,21796,Petrol,Manual,1st Owner,2015-01-20,1496,5
Volkswagen,Vento Diesel Comfortline,269000.0,118881,Diesel,Manual,1st Owner,2012-09-22,1197,5
Toyota,Yaris G BSIV,775000.0,32039,Petrol,Manual,2nd Owner,2018-04-21,2179,7
Maruti,Baleno 1.2 Alpha,537000.0,124763,Petrol,Manual,1st Owner,2017-05-21,2179,7
Mahindra,Scorpio S8 7C Seater,695000.0,201197,Diesel,Manual,3rd Owner,2015-08-13,1197,5
Mahindra,XUV500 W10 2WD,851000.0,81672,Diesel,Manual,2nd Owner,2015-02-22,998,5
Maruti,Swift Dzire VXI,732000.0,20248,Petrol,Manual,1st Owner,2021-03-25,998,5
Maruti,Wagon R VXI BS IV,221000.0,73639,Petrol,Manual,1st Owner,2012-07-04,1198,5
Maruti,Wagon R VXI BS IV,155000.0,82028,Petrol,Manual,2nd Owner,2010-06-08,1248,5
Honda,Amaze S i-Vtech,387000.0,32375,Petrol,Manual,4th Owner,2016-10-14,2179,5
Maruti,Ciaz ZDi Plus,475000.0,182048,Diesel,Manual,1st Owner,2015-01-18,2393,8
Land,Rover Freelander 2 SE,1328000.0,158108,Diesel,Automatic,1st Owner,2014-11-22,999,5
Toyota,Innova Crysta 2.4 G MT 8S BSIV,1130000.0,74176,Diesel,Manual,1st Owner,2016-09-20,998,5
Skoda,Rapid 1.0 TSI Ambition,903999.9999999999,17805,Petrol,Manual,2nd Owner,2020-06-16,1061,5
Maruti,Zen Estilo LXI BS IV,131000.0,105209,Petrol,Manual,1st Owner,2009-05-04,1248,5
Maruti,Wagon R LXI Minor Duo LPG,98429.0,72792,Lpg,Manual,1st Owner,2008-08-27,1956,5
Maruti,Swift LDI BSIV,370000.0,93411,Diesel,Manual,2nd Owner,2014-01-14,1396,5
Tata,Harrier XZ Dark Edition BSIV,1452000.0,51954,Diesel,Manual,1st Owner,2019-06-21,1197,5
Hyundai,Verna 1.4 EX,386000.0,199085,Diesel,Manual,1st Owner,2013-11-19,1120,5
Maruti,Swift Dzire 1.2 Vxi BSIV,247000.00000000003,213709,Petrol,Manual,1st Owner,2011-03-16,936,5
Hyundai,Grand i10 CRDi Magna,265000.0,134698,Diesel,Manual,1st Owner,2013-06-10,1197,5
Chevrolet,Beat Diesel PS,107000.0,82983,Diesel,Manual,1st Owner,2012-12-25,624,4
Hyundai,Grand i10 Magna,296000.0,81678,Petrol,Manual,1st Owner,2013-06-15,2498,6
Tata,Nano Twist XT,86503.0,50789,Petrol,Manual,2nd Owner,2014-05-30,1497,5
Mahindra,Thar CRDe,782000.0,46994,Diesel,Manual,1st Owner,2018-08-03,2179,7
Honda,City i VTEC VX Option,729000.0,19528,Petrol,Manual,1st Owner,2016-11-06,1497,5
Tata,Hexa XE,725000.0,68315,Diesel,Manual,2nd Owner,2017-05-21,1248,5
Ford,Ecosport 1.5 Petrol Trend BSIV,582000.0,69720,Petrol,Manual,1st Owner,2017-11-17,1061,5
Maruti,SX4 S Cross DDiS 200 Sigma,515000.00000000006,110655,Diesel,Manual,1st Owner,2016-08-08,1396,5
Maruti,Wagon R LXI Minor Duo LPG,107000.0,87100,Lpg,Manual,2nd Owner,2009-03-12,1399,5
Hyundai,i20 Sportz 1.4 CRDi,319000.0,124012,Diesel,Manual,2nd Owner,2013-03-10,1299,5
Ford,Figo Diesel ZXI,134000.0,92251,Diesel,Manual,2nd Owner,2010-02-19,1498,7
Ford,Ikon 1.3 Flair,80902.0,61127,Petrol,Manual,2nd Owner,2008-12-10,1197,5
Honda,Mobilio V i-DTEC,399000.0,141083,Diesel,Manual,1st Owner,2014-08-16,1248,5
Maruti,Swift LXI BSIV,325000.0,61802,Petrol,Manual,2nd Owner,2014-08-09,1197,5
Chevrolet,Sail Hatchback 1.3 TCDi,231000.0,147215,Diesel,Manual,3rd Owner,2015-10-27,998,5
Maruti,Ignis 1.2 Delta BSIV,443000.0,74295,Petrol,Manual,1st Owner,2017-05-03,1248,5
Maruti,Wagon R VXI BS IV,349000.0,66290,Petrol,Manual,2nd Owner,2017-04-23,1197,5
Maruti,Vitara Brezza ZDi Plus Dual Tone,822000.0000000001,92485,Diesel,Manual,1st Owner,2018-03-11,1086,5
Maruti,Baleno 1.2 Delta,536000.0,57563,Petrol,Manual,1st Owner,2018-08-12,1197,5
Hyundai,i10 Magna 1.1L,225000.0,30675,Petrol,Manual,1st Owner,2011-05-04,1199,5
Maruti,Swift Dzire VXI,337000.0,58835,Petrol,Manual,1st Owner,2013-12-12,1582,5
Volkswagen,Polo Diesel Comfortline 1.2L,258000.0,122571,Diesel,Manual,3rd Owner,2013-05-04,1399,5
Hyundai,Verna 1.6 SX,407000.0,116064,Diesel,Manual,2nd Owner,2013-04-23,5461,5
Ford,Classic 1.4 Duratorq Titanium,158000.0,128396,Diesel,Manual,1st Owner,2012-10-15,3996,4
Mercedes-Benz,G G63 AMG,15200000.0,47000,Petrol,Automatic,2nd Owner,2017-02-12,1199,5
Porsche,Panamera GTS,17500000.0,10000,Petrol,Automatic,1st Owner,2019-03-24,1950,5
Chevrolet,Beat LT,254999.99999999997,37275,Petrol,Manual,1st Owner,2014-05-02,1950,5
Mercedes-Benz,E-Class Exclusive E 220 d BSIV,4400000.0,44000,Diesel,Automatic,1st Owner,2017-07-15,1086,5
Mercedes-Benz,E-Class Exclusive E 220 d BSIV,4350000.0,39000,Diesel,Automatic,1st Owner,2017-05-07,1991,5
Hyundai,Santro Xing XG,84637.0,97767,Petrol,Manual,5th Owner,2005-02-25,1198,5
Mercedes-Benz,GLC 200,5650000.0,32000,Petrol,Automatic,1st Owner,2020-05-08,1248,5
Honda,Amaze S i-VTEC,500000.0,53931,Petrol,Manual,1st Owner,2018-03-29,1199,5
Fiat,Avventura MULTIJET Active,347000.0,73818,Diesel,Manual,1st Owner,2014-02-04,2498,6
Honda,Jazz 1.2 V AT i VTEC,690000.0,27200,Petrol,Automatic,1st Owner,2017-12-11,1462,5
Mahindra,Thar CRDe,772000.0,46365,Diesel,Manual,1st Owner,2017-11-16,1461,5
Maruti,Ciaz Alpha BSIV,872000.0000000001,82496,Petrol,Manual,1st Owner,2019-07-29,1248,5
Renault,Duster 110PS Diesel RxL AMT,651000.0,73656,Diesel,Automatic,1st Owner,2016-07-17,1493,7
Maruti,Ciaz ZDi SHVS,543000.0,92530,Diesel,Manual,1st Owner,2016-11-20,1368,5
Mahindra,TUV 300 mHAWK100 T8,658000.0,68364,Diesel,Manual,2nd Owner,2017-01-18,1197,5
Jeep,Compass 1.4 Sport,1261000.0,30224,Petrol,Manual,1st Owner,2018-01-16,1462,5
Maruti,Baleno 1.2 Alpha,585000.0,88658,Petrol,Manual,1st Owner,2017-03-03,2498,6
Maruti,Vitara Brezza ZXI,1053000.0,26396,Petrol,Manual,1st Owner,2020-08-06,998,5
Mahindra,Thar CRDe,746000.0,60020,Diesel,Manual,1st Owner,2017-02-12,1462,5
Maruti,Alto K10 2010-2014 VXI,268000.0,55107,Petrol,Manual,1st Owner,2014-03-07,796,5
Maruti,Ciaz Alpha AT,1243000.0,3925,Petrol,Automatic,1st Owner,2022-07-30,1197,5
Maruti,Alto 800 LXI,323000.0,21949,Petrol,Manual,1st Owner,2017-01-26,1995,5
Maruti,Swift Dzire VXI,500000.0,41899,Petrol,Manual,1st Owner,2016-01-18,2400,5
BMW,5 Series 520d Luxury Line,4600000.0,43000,Diesel,Automatic,1st Owner,2019-06-03,1950,5
Volvo,XC60 D5 Inscription,6100000.0,20000,Diesel,Automatic,1st Owner,2021-06-23,1968,5
Mercedes-Benz,GLC 220d 4MATIC,5650000.0,24000,Diesel,Automatic,1st Owner,2020-05-24,2987,5
Audi,Q3 35 TDI Quattro Premium Plus,1750000.0,39356,Diesel,Automatic,1st Owner,2015-02-13,2143,5
Mercedes-Benz,S-Class S 350 CDI,7150000.0,18000,Diesel,Automatic,1st Owner,2017-08-01,998,5
Mercedes-Benz,C-Class 220 CDI AT,1375000.0,40000,Diesel,Automatic,1st Owner,2013-08-30,1248,5
Maruti,Alto K10 VXI,315000.0,30555,Petrol,Manual,1st Owner,2016-09-21,1197,5
Maruti,Ciaz VDi Plus SHVS,478000.0,119878,Diesel,Manual,1st Owner,2015-05-29,1248,5
Hyundai,i20 1.2 Magna Opt,243000.00000000003,84557,Petrol,Manual,1st Owner,2011-12-09,1997,7
Maruti,Ciaz VDi Option SHVS,536000.0,96528,Diesel,Manual,1st Owner,2017-09-21,999,5
Mahindra,XUV500 W10 1.99 mHawk,1124000.0,44081,Diesel,Manual,1st Owner,2017-09-27,1248,5
Renault,Kiger RXT AMT,775000.0,6494,Petrol,Automatic,1st Owner,2021-02-03,998,5
Maruti,Swift VDI BSIV,340000.0,118631,Diesel,Manual,1st Owner,2014-04-05,1198,5
Maruti,Alto K10 VXI,351000.0,47133,Petrol,Manual,1st Owner,2018-01-21,1197,5
Honda,Amaze S i-VTEC,455999.99999999994,94025,Petrol,Manual,1st Owner,2017-03-30,998,5
Hyundai,i20 Magna 1.2,501999.99999999994,68841,Petrol,Manual,1st Owner,2016-03-12,1582,5
Hyundai,Venue SX Plus Turbo DCT BSIV,1046000.0000000001,31952,Petrol,Automatic,1st Owner,2019-12-13,998,5
Hyundai,Creta 1.6 CRDi SX,1130000.0,66518,Diesel,Manual,2nd Owner,2019-10-05,1582,5
Hyundai,Venue SX Plus Turbo DCT BSIV,1053000.0,26684,Petrol,Automatic,2nd Owner,2019-06-01,1199,5
Hyundai,Creta 1.6 CRDi SX,790000.0,38280,Diesel,Manual,1st Owner,2015-08-10,1197,5
Tata,Tiago 1.2 Revotron XZ,377000.0,96392,Petrol,Manual,1st Owner,2017-12-16,2179,7
Maruti,Swift Dzire 1.2 ZXi BSIV,286000.0,92613,Petrol,Manual,1st Owner,2011-03-29,1498,5
Mahindra,Scorpio S7 120,1178000.0,40011,Diesel,Manual,1st Owner,2018-01-18,1396,5
Honda,City i DTEC VX,533000.0,98772,Diesel,Manual,2nd Owner,2015-04-29,1248,5
Hyundai,i20 Asta 1.4 CRDi,350000.0,38931,Diesel,Manual,1st Owner,2013-05-31,1396,5
Maruti,Swift LDI BSIV,426999.99999999994,82392,Diesel,Manual,1st Owner,2017-12-19,2179,7
Hyundai,i20 1.4 Asta,572000.0,96805,Diesel,Manual,1st Owner,2017-12-02,998,5
Mahindra,Scorpio S5 BSIV,998000.0,68307,Diesel,Manual,1st Owner,2018-11-17,1197,5
Maruti,Wagon R LXI BS IV,375000.0,30404,Petrol,Manual,1st Owner,2016-02-27,1248,5
Maruti,Baleno 1.2 Alpha,630000.0,36438,Petrol,Manual,2nd Owner,2018-06-07,2179,7
Maruti,Swift VDI BSIV,376000.0,115206,Diesel,Manual,1st Owner,2015-11-13,1451,5
Mahindra,XUV500 W6 2WD,623000.0,104537,Diesel,Manual,1st Owner,2015-05-01,2755,7
MG,Hector Sharp DCT,1613000.0,29827,Petrol,Automatic,2nd Owner,2019-02-21,1968,5
Toyota,Innova Crysta 2.8 GX AT BSIV,1575000.0,55000,Diesel,Automatic,1st Owner,2017-11-04,3198,7
Audi,A6 35 TDI,2450000.0,68000,Diesel,Automatic,1st Owner,2016-09-10,2755,7
Ford,Endeavour 3.2 Titanium AT 4X4,2875000.0,80000,Diesel,Automatic,1st Owner,2018-01-16,814,5
Toyota,Innova Crysta 2.8 GX AT BSIV,1945000.0,55000,Diesel,Automatic,1st Owner,2019-02-13,1497,5
Hyundai,EON Era Plus,229999.99999999997,67885,Petrol,Manual,1st Owner,2013-08-29,998,5
Kia,Seltos HTX IVT G,1650000.0,28000,Petrol,Automatic,1st Owner,2021-02-08,1197,5
Hyundai,EON 1.0 Era Plus,229999.99999999997,48421,Petrol,Manual,1st Owner,2013-01-31,1582,5
Maruti,Swift Dzire VXI,425000.0,49000,Petrol,Manual,1st Owner,2014-10-09,1995,5
Hyundai,Verna 1.6 SX,450000.0,75000,Diesel,Manual,1st Owner,2013-06-05,1198,5
BMW,5 Series 520d Sport Line,4050000.0,55000,Diesel,Automatic,2nd Owner,2018-02-23,1493,5
Honda,Amaze S Option i-VTEC,471000.0,6357,Petrol,Manual,1st Owner,2017-02-27,1199,5
Hyundai,Venue SX Opt Executive Diesel,1024000.0,24237,Diesel,Manual,1st Owner,2022-09-29,2755,7
Honda,Amaze E Petrol,589000.0,10282,Petrol,Manual,1st Owner,2020-08-22,1396,5
Toyota,Innova Crysta 2.8 ZX AT BSIV,1710000.0000000002,111337,Diesel,Automatic,1st Owner,2018-03-19,1582,5
Hyundai,Venue SX Opt Diesel BSIV,982000.0,64104,Diesel,Manual,1st Owner,2019-09-14,1968,5
Hyundai,Verna 1.6 CRDi SX,560000.0,42234,Diesel,Manual,2nd Owner,2016-05-31,1197,5
Audi,Q5 30 TDI quattro Premium,1475000.0,80000,Diesel,Automatic,3rd Owner,2015-12-28,1197,5
Maruti,Ignis Sigma,501999.99999999994,2294,Petrol,Manual,1st Owner,2022-03-16,1396,5
Maruti,Baleno Delta,631000.0,38736,Petrol,Manual,1st Owner,2020-12-01,998,5
Hyundai,i20 Asta 1.4 CRDi,381000.0,130432,Diesel,Manual,1st Owner,2014-06-11,2694,7
